,open time,close,Success/Fail,Earning Rate (%)
Start,2019-01-10 09:00:00,166250.0
End,2019-04-17 21:00:00,191100.0,Failed,0.33999999999999997
Start,2019-04-17 21:00:00,191100.0
End,2019-04-23 13:00:00,203650.0,Failed,6.52
Start,2019-04-23 13:00:00,203650.0
End,2019-05-01 05:00:00,185850.0,Failed,-8.790000000000001
Start,2019-05-01 05:00:00,185850.0
End,2019-05-06 21:00:00,197050.0,Failed,5.9799999999999995
Start,2019-05-06 21:00:00,197050.0
End,2019-05-10 09:00:00,201200.0,Failed,2.06
Start,2019-05-10 09:00:00,201200.0
End,2019-05-19 21:00:00,303450.0,Failed,50.77
Start,2019-05-19 21:00:00,303450.0
End,2019-05-22 05:00:00,304100.0,Failed,0.15999999999999998
Start,2019-05-22 05:00:00,304100.0
End,2019-05-25 17:00:00,303450.0,Failed,-0.26
Start,2019-05-25 17:00:00,303450.0
End,2019-05-30 09:00:00,339250.0,Failed,11.75
Start,2019-05-30 09:00:00,339250.0
End,2019-06-02 13:00:00,327350.0,Failed,-3.56
Start,2019-06-02 13:00:00,327350.0
End,2019-06-07 13:00:00,301600.0,Failed,-7.920000000000001
Start,2019-06-07 13:00:00,301600.0
End,2019-06-08 01:00:00,302150.0,Failed,0.13
Start,2019-06-08 01:00:00,302150.0
End,2019-06-11 09:00:00,297450.0,Failed,-1.6099999999999999
Start,2019-06-11 09:00:00,297450.0
End,2019-06-20 21:00:00,320100.0,Failed,7.5600000000000005
Start,2019-06-20 21:00:00,320100.0
End,2019-06-30 05:00:00,389700.0,Failed,21.69
Start,2019-06-30 05:00:00,389700.0
End,2019-07-04 05:00:00,363650.0,Failed,-6.7299999999999995
Start,2019-07-04 05:00:00,363650.0
End,2019-07-07 09:00:00,346900.0,Failed,-4.66
Start,2019-07-07 09:00:00,346900.0
End,2019-07-19 05:00:00,268700.0,Failed,-22.59
Start,2019-07-19 05:00:00,268700.0
End,2019-07-25 09:00:00,262600.0,Failed,-2.3200000000000003
Start,2019-07-25 09:00:00,262600.0
End,2019-07-30 05:00:00,249900.0,Failed,-4.89
Start,2019-07-30 05:00:00,249900.0
End,2019-07-31 21:00:00,256000.0,Failed,2.39
Start,2019-07-31 21:00:00,256000.0
End,2019-08-12 05:00:00,259850.0,Failed,1.45
Start,2019-08-12 05:00:00,259850.0
End,2019-08-17 13:00:00,225050.0,Failed,-13.44
Start,2019-08-17 13:00:00,225050.0
End,2019-08-18 17:00:00,230300.0,Failed,2.2800000000000002
Start,2019-08-18 17:00:00,230300.0
End,2019-08-23 21:00:00,233400.0,Failed,1.3
Start,2019-08-23 21:00:00,233400.0
End,2019-08-28 09:00:00,222350.0,Failed,-4.78
Start,2019-08-28 09:00:00,222350.0
End,2019-08-31 21:00:00,203450.0,Failed,-8.55
Start,2019-08-31 21:00:00,203450.0
End,2019-09-08 01:00:00,212650.0,Failed,4.47
Start,2019-09-13 21:00:00,212750.0
End,2019-09-28 05:00:00,208950.0,Failed,-1.8399999999999999
Start,2019-09-28 05:00:00,208950.0
End,2019-09-30 21:00:00,214100.0,Failed,2.41
Start,2019-09-30 21:00:00,214100.0
End,2019-10-07 21:00:00,211600.0,Failed,-1.22
Start,2019-10-07 21:00:00,211600.0
End,2019-10-15 01:00:00,219300.0,Failed,3.5900000000000003
Start,2019-10-15 01:00:00,219300.0
End,2019-10-21 01:00:00,207950.0,Failed,-5.2299999999999995
Start,2019-10-21 01:00:00,207950.0
End,2019-10-25 21:00:00,204950.0,Failed,-1.49
Start,2019-10-25 21:00:00,204950.0
End,2019-10-29 01:00:00,212400.0,Failed,3.5900000000000003
Start,2019-10-29 01:00:00,212400.0
End,2019-11-02 05:00:00,214000.0,Failed,0.7
Start,2019-11-02 05:00:00,214000.0
End,2019-11-04 21:00:00,216500.0,Failed,1.1199999999999999
Start,2019-11-04 21:00:00,216500.0
End,2019-11-10 13:00:00,217400.0,Failed,0.37
Start,2019-11-10 13:00:00,217400.0
End,2019-11-13 21:00:00,217600.0,Failed,0.039999999999999994
Start,2019-11-13 21:00:00,217600.0
End,2019-11-18 05:00:00,214600.0,Failed,-1.43
Start,2019-11-18 05:00:00,214600.0
End,2019-11-27 05:00:00,173050.0,Failed,-19.41
Start,2019-11-27 05:00:00,173050.0
End,2019-12-03 17:00:00,173150.0,Failed,0.009999999999999993
Start,2019-12-03 17:00:00,173150.0
End,2019-12-04 21:00:00,175300.0,Failed,1.19
Start,2019-12-04 21:00:00,175300.0
End,2019-12-07 17:00:00,173600.0,Failed,-1.02
Start,2019-12-07 17:00:00,173600.0
End,2019-12-08 21:00:00,176250.0,Failed,1.48
Start,2019-12-08 21:00:00,176250.0
End,2019-12-14 09:00:00,167900.0,Failed,-4.79
Start,2019-12-14 09:00:00,167900.0
End,2019-12-19 13:00:00,147750.0,Failed,-12.049999999999999
Start,2019-12-19 13:00:00,147750.0
End,2019-12-21 21:00:00,147100.0,Failed,-0.49
Start,2019-12-21 21:00:00,147100.0
End,2019-12-27 01:00:00,147800.0,Failed,0.43
Start,2019-12-27 01:00:00,147800.0
End,2019-12-29 17:00:00,147500.0,Failed,-0.25
Start,2019-12-29 17:00:00,147500.0
End,2020-01-03 17:00:00,151000.0,Failed,2.32
Start,2020-01-03 17:00:00,151000.0
End,2020-01-11 09:00:00,162250.0,Failed,7.3999999999999995
Start,2020-01-11 09:00:00,162250.0
End,2020-01-14 09:00:00,166700.0,Failed,2.69
Start,2020-01-14 09:00:00,166700.0
End,2020-01-22 05:00:00,193000.0,Failed,15.73
Start,2020-01-22 05:00:00,193000.0
End,2020-01-25 21:00:00,186900.0,Failed,-3.2100000000000004
Start,2020-01-25 21:00:00,186900.0
End,2020-02-05 17:00:00,227800.0,Failed,21.83
Start,2020-02-05 17:00:00,227800.0
End,2020-02-12 01:00:00,274900.0,Failed,20.630000000000003
Start,2020-02-12 01:00:00,274900.0
End,2020-02-18 21:00:00,320900.0,Failed,16.68
Start,2020-02-18 21:00:00,320900.0
End,2020-02-22 17:00:00,311750.0,Failed,-2.9000000000000004
Start,2020-02-22 17:00:00,311750.0
End,2020-02-29 09:00:00,277950.0,Failed,-10.89
Start,2020-02-29 09:00:00,277950.0
End,2020-03-01 21:00:00,267400.0,Failed,-3.85
Start,2020-03-01 21:00:00,267400.0
End,2020-03-03 01:00:00,277200.0,Failed,3.61
Start,2020-03-03 01:00:00,277200.0
End,2020-03-06 09:00:00,273600.0,Failed,-1.35
Start,2020-03-06 09:00:00,273600.0
End,2020-03-19 01:00:00,145500.0,Failed,-46.87
Start,2020-03-19 01:00:00,145500.0
End,2020-03-24 17:00:00,173700.0,Failed,19.33
Start,2020-03-24 17:00:00,173700.0
End,2020-03-30 17:00:00,163300.0,Failed,-6.04
Start,2020-03-30 17:00:00,163300.0
End,2020-04-02 05:00:00,164750.0,Failed,0.84
Start,2020-04-02 05:00:00,164750.0
End,2020-04-06 09:00:00,174350.0,Failed,5.779999999999999
Start,2020-04-06 09:00:00,174350.0
End,2020-04-10 05:00:00,205250.0,Failed,17.669999999999998
Start,2020-04-10 05:00:00,205250.0
End,2020-04-13 01:00:00,200000.0,Failed,-2.6100000000000003
Start,2020-04-13 01:00:00,200000.0
End,2020-04-15 17:00:00,192400.0,Failed,-3.85
Start,2020-04-15 17:00:00,192400.0
End,2020-04-16 13:00:00,199700.0,Failed,3.74
Start,2020-04-16 13:00:00,199700.0
End,2020-04-23 01:00:00,220400.0,Failed,10.32
Start,2020-04-23 01:00:00,220400.0
End,2020-04-29 13:00:00,248400.0,Failed,12.65
Start,2020-04-29 13:00:00,248400.0
End,2020-05-06 21:00:00,252750.0,Failed,1.7000000000000002
Start,2020-05-06 21:00:00,252750.0
End,2020-05-08 01:00:00,256650.0,Failed,1.49
Start,2020-05-08 01:00:00,256650.0
End,2020-05-13 21:00:00,239450.0,Failed,-6.75
Start,2020-05-13 21:00:00,239450.0
End,2020-05-17 17:00:00,242100.0,Failed,1.06
Start,2020-05-17 17:00:00,242100.0
End,2020-05-23 21:00:00,250900.0,Failed,3.58
Start,2020-05-23 21:00:00,250900.0
End,2020-05-27 21:00:00,249850.0,Failed,-0.4699999999999999
Start,2020-05-27 21:00:00,249850.0
End,2020-06-07 01:00:00,290550.0,Failed,16.24
Start,2020-06-07 01:00:00,290550.0
End,2020-06-08 05:00:00,293000.0,Failed,0.7899999999999999
Start,2020-06-08 05:00:00,293000.0
End,2020-06-14 13:00:00,283050.0,Failed,-3.45
Start,2020-06-14 13:00:00,283050.0
End,2020-06-17 13:00:00,282750.0,Failed,-0.16
Start,2020-06-17 13:00:00,282750.0
End,2020-06-21 17:00:00,277350.0,Failed,-1.96
Start,2020-06-21 17:00:00,277350.0
End,2020-06-22 09:00:00,282100.0,Failed,1.66
Start,2020-06-22 09:00:00,282100.0
End,2020-06-30 09:00:00,271200.0,Failed,-3.91
Start,2020-06-30 09:00:00,271200.0
End,2020-07-05 09:00:00,272450.0,Failed,0.4099999999999999
Start,2020-07-05 09:00:00,272450.0
End,2020-07-06 13:00:00,276950.0,Failed,1.6
Start,2020-07-06 13:00:00,276950.0
End,2020-07-19 01:00:00,280550.0,Failed,1.25
Start,2020-07-19 01:00:00,280550.0
End,2020-07-30 17:00:00,377250.0,Failed,34.42
Start,2020-07-30 17:00:00,377250.0
End,2020-08-09 13:00:00,466200.0,Failed,23.53
Start,2020-08-09 13:00:00,466200.0
End,2020-08-13 13:00:00,460450.0,Failed,-1.28
Start,2020-08-13 13:00:00,460450.0
End,2020-08-18 05:00:00,499000.0,Failed,8.32
Start,2020-08-18 05:00:00,499000.0
End,2020-08-21 21:00:00,480150.0,Failed,-3.83
Start,2020-08-21 21:00:00,480150.0
End,2020-08-24 17:00:00,479950.0,Failed,-0.09
Start,2020-08-24 17:00:00,479950.0
End,2020-08-28 05:00:00,453350.0,Failed,-5.59
Start,2020-08-28 05:00:00,453350.0
End,2020-08-29 13:00:00,473300.0,Failed,4.35
Start,2020-08-29 13:00:00,473300.0
End,2020-09-08 09:00:00,416700.0,Failed,-12.01
Start,2020-09-08 09:00:00,416700.0
End,2020-09-09 21:00:00,420450.0,Failed,0.8499999999999999
Start,2020-09-09 21:00:00,420450.0
End,2020-09-13 01:00:00,456950.0,Failed,8.63
Start,2020-09-13 01:00:00,456950.0
End,2020-09-16 05:00:00,432850.0,Failed,-5.319999999999999
Start,2020-09-16 05:00:00,432850.0
End,2020-09-17 13:00:00,446600.0,Failed,3.1300000000000003
Start,2020-09-17 13:00:00,446600.0
End,2020-09-25 01:00:00,402050.0,Failed,-10.03
Start,2020-09-25 01:00:00,402050.0
End,2020-10-01 13:00:00,423300.0,Failed,5.24
Start,2020-10-01 13:00:00,423300.0
End,2020-10-05 01:00:00,412700.0,Failed,-2.5500000000000003
Start,2020-10-05 01:00:00,412700.0
End,2020-10-09 13:00:00,403650.0,Failed,-2.2399999999999998
Start,2020-10-09 13:00:00,403650.0
End,2020-10-19 01:00:00,431900.0,Failed,6.950000000000001
Start,2020-10-19 01:00:00,431900.0
End,2020-10-21 21:00:00,442100.0,Failed,2.31
Start,2020-10-21 21:00:00,442100.0
End,2020-10-31 21:00:00,441400.0,Failed,-0.21000000000000002
Start,2020-10-31 21:00:00,441400.0
End,2020-11-05 01:00:00,454300.0,Failed,2.87
Start,2020-11-05 01:00:00,454300.0
End,2020-11-10 09:00:00,500000.0,Failed,10.01
Start,2020-11-10 09:00:00,500000.0
End,2020-11-11 09:00:00,514000.0,Failed,2.75
Start,2020-11-11 09:00:00,514000.0
End,2020-11-14 05:00:00,525000.0,Failed,2.09
Start,2020-11-14 05:00:00,525000.0
End,2020-11-17 09:00:00,507900.0,Failed,-3.3099999999999996
Start,2020-11-17 09:00:00,507900.0
End,2020-11-29 01:00:00,598200.0,Failed,17.73
Start,2020-11-29 01:00:00,598200.0
End,2020-12-07 05:00:00,652000.0,Failed,8.94
Start,2020-12-07 05:00:00,652000.0
End,2020-12-11 09:00:00,601700.0,Failed,-7.76
Start,2020-12-11 09:00:00,601700.0
End,2020-12-13 05:00:00,622100.0,Failed,3.34
Start,2020-12-13 05:00:00,622100.0
End,2020-12-20 01:00:00,723100.0,Failed,16.189999999999998
Start,2020-12-20 01:00:00,723100.0
End,2020-12-23 17:00:00,680300.0,Failed,-5.970000000000001
Start,2020-12-23 17:00:00,680300.0
End,2020-12-25 21:00:00,677100.0,Failed,-0.52
Start,2020-12-25 21:00:00,677100.0
End,2020-12-31 05:00:00,830000.0,Failed,22.53
Start,2020-12-31 05:00:00,830000.0
End,2021-01-02 21:00:00,844300.0,Failed,1.67
Start,2021-01-02 21:00:00,844300.0
End,2021-01-07 01:00:00,1293500.0,Failed,53.150000000000006
Start,2021-01-07 01:00:00,1293500.0
End,2021-01-14 05:00:00,1252000.0,Failed,-3.26
Start,2021-01-14 05:00:00,1252000.0
End,2021-01-14 21:00:00,1328500.0,Failed,6.0600000000000005
Start,2021-01-14 21:00:00,1328500.0
End,2021-01-19 09:00:00,1443500.0,Failed,8.61
Start,2021-01-19 09:00:00,1443500.0
End,2021-01-24 09:00:00,1428000.0,Failed,-1.1199999999999999
Start,2021-01-24 09:00:00,1428000.0
End,2021-01-29 17:00:00,1520500.0,Failed,6.43
Start,2021-01-29 17:00:00,1520500.0
End,2021-02-01 21:00:00,1430500.0,Failed,-5.970000000000001
Start,2021-02-01 21:00:00,1430500.0
End,2021-02-08 21:00:00,1837000.0,Failed,28.37
Start,2021-02-08 21:00:00,1837000.0
End,2021-02-17 01:00:00,1957000.0,Failed,6.4799999999999995
Start,2021-02-17 01:00:00,1957000.0
End,2021-02-25 21:00:00,1845000.0,Failed,-5.7700000000000005
Start,2021-02-25 21:00:00,1845000.0
End,2021-03-01 21:00:00,1748500.0,Failed,-5.28
Start,2021-03-01 21:00:00,1748500.0
End,2021-03-07 01:00:00,1868500.0,Failed,6.81
Start,2021-03-07 01:00:00,1868500.0
End,2021-03-13 13:00:00,2060000.0,Failed,10.2
Start,2021-03-13 13:00:00,2060000.0
End,2021-03-18 01:00:00,2121000.0,Failed,2.91
Start,2021-03-18 01:00:00,2121000.0
End,2021-03-20 09:00:00,2158000.0,Failed,1.69
Start,2021-03-20 09:00:00,2158000.0
End,2021-03-27 13:00:00,2020000.0,Failed,-6.4399999999999995
Start,2021-03-27 13:00:00,2020000.0
End,2021-04-05 21:00:00,2783000.0,Failed,37.72
Start,2021-04-05 21:00:00,2783000.0
End,2021-04-10 05:00:00,2706000.0,Failed,-2.82
Start,2021-04-10 05:00:00,2706000.0
End,2021-04-13 13:00:00,2801000.0,Failed,3.46
Start,2021-04-13 13:00:00,2801000.0
End,2021-04-21 21:00:00,3051000.0,Failed,8.88
Start,2021-04-21 21:00:00,3051000.0
End,2021-05-07 09:00:00,4132000.0,Failed,35.38
Start,2021-05-07 09:00:00,4132000.0
End,2021-05-08 21:00:00,4366000.0,Failed,5.609999999999999
Start,2021-05-08 21:00:00,4366000.0
End,2021-05-12 21:00:00,5210000.0,Failed,19.28
Start,2021-05-12 21:00:00,5210000.0
End,2021-05-22 05:00:00,3196000.0,Failed,-38.71
Start,2021-05-22 05:00:00,3196000.0
End,2021-05-25 01:00:00,3165000.0,Failed,-1.02
Start,2021-05-25 01:00:00,3165000.0
End,2021-05-31 21:00:00,3096000.0,Failed,-2.23
Start,2021-05-31 21:00:00,3096000.0
End,2021-06-07 01:00:00,3132000.0,Failed,1.1099999999999999
Start,2021-06-07 01:00:00,3132000.0
End,2021-06-07 17:00:00,3232000.0,Failed,3.1399999999999997
Start,2021-06-07 17:00:00,3232000.0
End,2021-06-10 21:00:00,2920000.0,Failed,-9.700000000000001
Start,2021-06-10 21:00:00,2920000.0
End,2021-06-14 05:00:00,2878000.0,Failed,-1.49
Start,2021-06-14 05:00:00,2878000.0
End,2021-06-24 13:00:00,2235000.0,Failed,-22.39
Start,2021-06-24 13:00:00,2235000.0
End,2021-06-28 05:00:00,2281000.0,Failed,2.01
Start,2021-06-28 05:00:00,2281000.0
End,2021-07-03 21:00:00,2585000.0,Failed,13.28
Start,2021-07-03 21:00:00,2585000.0
End,2021-07-07 13:00:00,2764000.0,Failed,6.87
Start,2021-07-07 13:00:00,2764000.0
End,2021-07-11 13:00:00,2474000.0,Failed,-10.54
Start,2021-07-11 13:00:00,2474000.0
End,2021-07-12 21:00:00,2470000.0,Failed,-0.21000000000000002
Start,2021-07-12 21:00:00,2470000.0
End,2021-07-15 21:00:00,2267000.0,Failed,-8.27
Start,2021-07-15 21:00:00,2267000.0
End,2021-07-18 09:00:00,2332000.0,Failed,2.82
Start,2021-07-18 09:00:00,2332000.0
End,2021-07-21 21:00:00,2297000.0,Failed,-1.55
Start,2021-07-21 21:00:00,2297000.0
End,2021-07-29 17:00:00,2658000.0,Failed,15.67
Start,2021-07-29 17:00:00,2658000.0
End,2021-08-04 21:00:00,3089000.0,Failed,16.17
Start,2021-08-04 21:00:00,3089000.0
End,2021-08-10 09:00:00,3598000.0,Failed,16.43
Start,2021-08-10 09:00:00,3598000.0
End,2021-08-13 13:00:00,3732000.0,Failed,3.6699999999999995
Start,2021-08-13 13:00:00,3732000.0
End,2021-08-16 09:00:00,3793000.0,Failed,1.5799999999999998
Start,2021-08-16 09:00:00,3793000.0
End,2021-08-20 09:00:00,3770000.0,Failed,-0.66
Start,2021-08-20 09:00:00,3770000.0
End,2021-08-23 09:00:00,3872000.0,Failed,2.6599999999999997
Start,2021-08-23 09:00:00,3872000.0
End,2021-08-27 21:00:00,3814000.0,Failed,-1.55
Start,2021-08-27 21:00:00,3814000.0
End,2021-08-31 01:00:00,3917000.0,Failed,2.65
First Seed Money,Last Seed Money,Total Earning Rate(%),Winning Rate(%)
1,19.421640883764056,442.5800000000003,58.03108808290155
