,open time,close,Success/Fail,Earning Rate (%)
Start,2019-01-10 09:00:00,166250.0
End,2019-01-13 21:00:00,138500.0,Failed,-16.74
Start,2019-01-13 21:00:00,138500.0
End,2019-01-14 21:00:00,143900.0,Failed,3.85
Start,2019-01-14 21:00:00,143900.0
End,2019-01-18 09:00:00,136400.0,Failed,-5.26
Start,2019-01-18 09:00:00,136400.0
End,2019-01-19 13:00:00,134650.0,Failed,-1.33
Start,2019-01-19 13:00:00,134650.0
End,2019-01-23 05:00:00,132500.0,Failed,-1.6500000000000001
Start,2019-01-23 05:00:00,132500.0
End,2019-01-30 21:00:00,119950.0,Failed,-9.520000000000001
Start,2019-01-30 21:00:00,119950.0
End,2019-02-03 05:00:00,121350.0,Failed,1.1199999999999999
Start,2019-02-03 05:00:00,121350.0
End,2019-02-06 01:00:00,118350.0,Failed,-2.52
Start,2019-02-06 01:00:00,118350.0
End,2019-02-08 17:00:00,120500.0,Failed,1.77
Start,2019-02-08 17:00:00,120500.0
End,2019-02-16 01:00:00,134450.0,Failed,11.53
Start,2019-02-16 01:00:00,134450.0
End,2019-02-21 13:00:00,161000.0,Failed,19.7
Start,2019-02-21 13:00:00,161000.0
End,2019-02-24 01:00:00,170400.0,Failed,5.79
Start,2019-02-24 01:00:00,170400.0
End,2019-03-02 09:00:00,150550.0,Failed,-11.700000000000001
Start,2019-03-02 09:00:00,150550.0
End,2019-03-05 21:00:00,147950.0,Failed,-1.78
Start,2019-03-05 21:00:00,147950.0
End,2019-03-12 21:00:00,148500.0,Failed,0.32
Start,2019-03-12 21:00:00,148500.0
End,2019-03-19 01:00:00,153500.0,Failed,3.32
Start,2019-03-19 01:00:00,153500.0
End,2019-03-27 09:00:00,155000.0,Failed,0.9299999999999999
Start,2019-03-27 09:00:00,155000.0
End,2019-04-01 21:00:00,161100.0,Failed,3.8899999999999997
Start,2019-04-01 21:00:00,161100.0
End,2019-04-06 17:00:00,185700.0,Failed,15.22
Start,2019-04-06 17:00:00,185700.0
End,2019-04-11 01:00:00,208650.0,Failed,12.31
Start,2019-04-11 01:00:00,208650.0
End,2019-04-14 05:00:00,190350.0,Failed,-8.82
Start,2019-04-14 05:00:00,190350.0
