,open time,close,Success/Fail,Earning Rate (%)
Start,2019-10-21 01:00:00,9750000.0
End,2019-10-25 21:00:00,9646000.0,Failed,-1.1199999999999999
Start,2019-10-25 21:00:00,9646000.0
End,2019-11-01 17:00:00,10751000.0,Failed,11.41
Start,2019-11-01 17:00:00,10751000.0
End,2019-11-03 09:00:00,10884000.0,Failed,1.19
Start,2019-11-03 09:00:00,10884000.0
End,2019-11-05 05:00:00,10846000.0,Failed,-0.4
Start,2019-11-05 05:00:00,10846000.0
End,2019-11-11 05:00:00,10496000.0,Failed,-3.2800000000000002
Start,2019-11-11 05:00:00,10496000.0
End,2019-11-18 09:00:00,9900000.0,Failed,-5.73
Start,2019-11-18 09:00:00,9900000.0
End,2019-11-26 21:00:00,8339000.0,Failed,-15.82
Start,2019-11-26 21:00:00,8339000.0
End,2019-12-04 21:00:00,8789000.0,Failed,5.35
Start,2019-12-04 21:00:00,8789000.0
End,2019-12-07 09:00:00,8815000.0,Failed,0.25
Start,2019-12-07 09:00:00,8815000.0
End,2019-12-10 01:00:00,8717000.0,Failed,-1.1600000000000001
Start,2019-12-10 01:00:00,8717000.0
End,2019-12-14 01:00:00,8515000.0,Failed,-2.37
Start,2019-12-14 01:00:00,8515000.0
End,2019-12-19 05:00:00,8466000.0,Failed,-0.63
Start,2019-12-19 05:00:00,8466000.0
End,2019-12-21 21:00:00,8300000.0,Failed,-2.01
Start,2019-12-21 21:00:00,8300000.0
End,2019-12-22 09:00:00,8285000.0,Failed,-0.22999999999999998
Start,2019-12-22 09:00:00,8285000.0
End,2019-12-27 09:00:00,8360000.0,Failed,0.86
Start,2019-12-27 09:00:00,8360000.0
End,2019-12-29 17:00:00,8467000.0,Failed,1.23
Start,2019-12-29 17:00:00,8467000.0
End,2020-01-03 13:00:00,8350000.0,Failed,-1.43
Start,2020-01-03 13:00:00,8350000.0
End,2020-01-11 13:00:00,9150000.0,Failed,9.53
Start,2020-01-11 13:00:00,9150000.0
End,2020-01-14 09:00:00,9454000.0,Failed,3.27
Start,2020-01-14 09:00:00,9454000.0
End,2020-01-22 05:00:00,9958000.0,Failed,5.28
Start,2020-01-22 05:00:00,9958000.0
End,2020-01-26 05:00:00,9745000.0,Failed,-2.19
Start,2020-01-26 05:00:00,9745000.0
End,2020-02-05 21:00:00,10900000.0,Failed,11.799999999999999
Start,2020-02-05 21:00:00,10900000.0
End,2020-02-12 01:00:00,11838000.0,Failed,8.559999999999999
Start,2020-02-12 01:00:00,11838000.0
End,2020-02-19 05:00:00,11838000.0,Failed,-0.05
Start,2020-02-19 05:00:00,11838000.0
End,2020-02-22 17:00:00,11478000.0,Failed,-3.09
