,open time,close,Success/Fail,Earning Rate (%)
End,2021-04-04 05:00:00,72187000.0,Failed,-3.7900000000000005
Start,2021-04-05 01:00:00,73224000.0
End,2021-04-06 09:00:00,77985000.0,Failed,6.45
Start,2021-04-07 09:00:00,78809000.0
End,2021-04-07 13:00:00,74390000.0,Failed,-5.66
Start,2021-04-08 13:00:00,72200000.0
End,2021-04-11 01:00:00,78179000.0,Failed,8.23
Start,2021-04-12 05:00:00,78743000.0
End,2021-04-12 13:00:00,78429000.0,Failed,-0.45000000000000007
Start,2021-04-13 09:00:00,78422000.0
End,2021-04-14 21:00:00,80747000.0,Failed,2.91
Start,2021-04-16 05:00:00,79670000.0
End,2021-04-16 13:00:00,79194000.0,Failed,-0.65
Start,2021-04-17 05:00:00,79351000.0
End,2021-04-17 13:00:00,78337000.0,Failed,-1.33
Start,2021-04-18 21:00:00,74750000.0
End,2021-04-19 21:00:00,71615000.0,Failed,-4.24
Start,2021-04-20 17:00:00,69785000.0
End,2021-04-21 13:00:00,69211000.0,Failed,-0.8700000000000001
Start,2021-04-21 21:00:00,70180000.0
End,2021-04-22 05:00:00,68198000.0,Failed,-2.87
Start,2021-04-23 17:00:00,58711000.0
End,2021-04-26 01:00:00,60556000.0,Failed,3.09
Start,2021-04-26 09:00:00,62529000.0
End,2021-04-28 09:00:00,64153000.0,Failed,2.55
Start,2021-04-29 01:00:00,64265000.0
End,2021-04-29 17:00:00,63935000.0,Failed,-0.56
Start,2021-04-30 05:00:00,63814000.0
End,2021-05-01 21:00:00,68615000.0,Failed,7.470000000000001
Start,2021-05-02 05:00:00,69049000.0
End,2021-05-02 09:00:00,67880000.0,Failed,-1.7399999999999998
Start,2021-05-03 05:00:00,68452000.0
End,2021-05-03 21:00:00,69675000.0,Failed,1.7399999999999998
Start,2021-05-05 09:00:00,69124000.0
End,2021-05-05 17:00:00,67333000.0,Failed,-2.64
Start,2021-05-05 21:00:00,69910000.0
End,2021-05-06 01:00:00,68013000.0,Failed,-2.76
Start,2021-05-06 09:00:00,68935000.0
End,2021-05-06 21:00:00,68950000.0,Failed,-0.030000000000000002
Start,2021-05-07 21:00:00,68142000.0
End,2021-05-09 21:00:00,70881000.0,Failed,3.9699999999999998
Start,2021-05-10 09:00:00,72099000.0
End,2021-05-10 13:00:00,71012000.0,Failed,-1.56
Start,2021-05-10 17:00:00,72036000.0
End,2021-05-11 05:00:00,70902000.0,Failed,-1.6199999999999999
Start,2021-05-12 05:00:00,69741000.0
End,2021-05-12 17:00:00,69390000.0,Failed,-0.5499999999999999
Start,2021-05-14 05:00:00,63069000.0
End,2021-05-14 13:00:00,61800000.0,Failed,-2.06
Start,2021-05-14 17:00:00,62505000.0
End,2021-05-15 01:00:00,61427000.0,Failed,-1.77
Start,2021-05-15 05:00:00,61797000.0
End,2021-05-15 13:00:00,60239000.0,Failed,-2.5700000000000003
Start,2021-05-15 17:00:00,60750000.0
End,2021-05-15 21:00:00,60250000.0,Failed,-0.8700000000000001
Start,2021-05-16 13:00:00,60160000.0
End,2021-05-17 01:00:00,57427000.0,Failed,-4.590000000000001
Start,2021-05-17 13:00:00,56947000.0
End,2021-05-18 21:00:00,53437000.0,Failed,-6.21
Start,2021-05-20 01:00:00,52098000.0
End,2021-05-21 13:00:00,49333000.0,Failed,-5.36
Start,2021-05-21 17:00:00,51390000.0
End,2021-05-21 21:00:00,47712000.0,Failed,-7.21
Start,2021-05-22 05:00:00,49112000.0
End,2021-05-22 09:00:00,46296000.0,Failed,-5.779999999999999
Start,2021-05-22 17:00:00,47753000.0
End,2021-05-23 13:00:00,45250000.0,Failed,-5.29
Start,2021-05-24 05:00:00,42585000.0
End,2021-05-25 17:00:00,45256000.0,Failed,6.220000000000001
Start,2021-05-25 21:00:00,47035000.0
End,2021-05-26 01:00:00,46302000.0,Failed,-1.6099999999999999
Start,2021-05-26 05:00:00,47047000.0
End,2021-05-26 21:00:00,47199000.0,Failed,0.27
Start,2021-05-27 17:00:00,47629000.0
End,2021-05-28 05:00:00,46563000.0,Failed,-2.29
Start,2021-05-29 09:00:00,43930000.0
End,2021-05-29 17:00:00,42845000.0,Failed,-2.52
